name,link,profile_photo,department,disciplines 
Ying-Chao Zhao,https://www.researchgate.net/profile/Ying-Chao-Zhao,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg, School of Materials Science and Engineering,[]
Long Xiang Shang,https://www.researchgate.net/profile/Long-Xiang-Shang,https://i1.rgstatic.net/ii/profile.image/749265399861248-1555650200852_Q64/Long-Xiang-Shang.jpg,Department of Geological Resources,[]
瑞胜 Ni,https://www.researchgate.net/profile/ruisheng-Ni,https://i1.rgstatic.net/ii/profile.image/758329215299584-1557811182140_Q64/ruisheng-Ni.jpg,Department of Geophysics,[]
Jienan Li,https://www.researchgate.net/profile/Jienan-Li-2,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,"Department of Forensic Genetics, West China School of Pre-clinical and Forensic Medicine, Sichuan University","['PCR', 'DNA', 'Gel Electrophoresis']"
Mingyue Hu,https://www.researchgate.net/profile/Mingyue-Hu-8,https://i1.rgstatic.net/ii/profile.image/805205536931842-1568987368343_Q64/Mingyue-Hu-8.jpg,Xiangya School of Medicine,"['Gerontology', 'Psychological Assessment']"
Jiang Ouyang,https://www.researchgate.net/profile/Jiang-Ouyang,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Institute of Chemistry and Chemical Engineering,"['Nanomaterials', 'Material Characterization', 'Materials']"
Huajie Mao,https://www.researchgate.net/profile/Huajie-Mao,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,,[]
Liu Min,https://www.researchgate.net/profile/Liu-Min-17,https://i1.rgstatic.net/ii/profile.image/818937314947072-1572261279014_Q64/Liu-Min-17.jpg,Department of Applied Mathematics,['Numerical Mathematics']
Tan Zhikai,https://www.researchgate.net/profile/Tan-Zhikai,https://i1.rgstatic.net/ii/profile.image/819168521764864-1572316403378_Q64/Tan-Zhikai.jpg,,"['Simulation Modeling', 'Chemical Processes', 'Simulation']"
Jian Yin,https://www.researchgate.net/profile/Jian-Yin-9,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Department of Computer Science,"['Machine Learning', 'Classification', 'Computer Vision']"
Jia-Da Li,https://www.researchgate.net/profile/Jia-Da-Li,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,School of Life Sciences,"['Exome', 'Cloning', 'Human Genetics']"
Huan Chen,https://www.researchgate.net/profile/Huan-Chen-36,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Xiangya School of Medicine,['Biochemistry']
Jin Luo,https://www.researchgate.net/profile/Jin-Luo-16,https://i1.rgstatic.net/ii/profile.image/832020502556674-1575380554249_Q64/Jin-Luo-16.jpg,School of Automation,"['Image Processing', 'Computer Vision', 'Feature Extraction']"
Chaofeng Tu,https://www.researchgate.net/profile/Chaofeng-Tu,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Institute of Reproduction and Stem Cell Engneering,[]
Huang Qiang,https://www.researchgate.net/profile/Huang-Qiang-12,https://i1.rgstatic.net/ii/profile.image/839891025920000-1577257033360_Q64/Huang-Qiang-12.jpg,Department of Microelectronic Manufacturing Engineering,"['Finite Element Analysis', 'Finite Element Modeling']"
Zhuang Tian,https://www.researchgate.net/profile/Zhuang-Tian-3,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,School of Physics Science and Technology,[]
Han Xing,https://www.researchgate.net/profile/Han-Xing-5,https://i1.rgstatic.net/ii/profile.image/11431281206490627-1700746603587_Q64/Han-Xing-5.jpg,School of Basic Medical Sciences,['Cancer Biology']
Mingbo Xie,https://www.researchgate.net/profile/Mingbo-Xie,https://i1.rgstatic.net/ii/profile.image/864463930523649-1583115670253_Q64/Mingbo-Xie.jpg,Institute of Environmental Science and Engineering,"['Advanced Oxidation Processes', 'Catalyst Characterization', 'Catalyst Synthesis']"
Wang Xing,https://www.researchgate.net/profile/Wang_Xing25,https://i1.rgstatic.net/ii/profile.image/1023347701841924-1620996513799_Q64/Wang_Xing25.jpg, School of Materials Science and Engineering,[]
Chaobo Tang,https://www.researchgate.net/profile/Chaobo-Tang,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,School of Metallurgy and Environment,"['Processing Engineering', 'Mineral Processing', 'Minerals']"
Meiyu Wu,https://www.researchgate.net/profile/Meiyu_Wu3,https://i1.rgstatic.net/ii/profile.image/870508891492353-1584556901382_Q64/Meiyu_Wu3.jpg,"Department of Dermatology, Second Xiangya Hospital of Central South University, Hunan Key Laboratory of Medical Epigenomics, Changsha, Hunan, China","['Epidemiologic Studies', 'Clinical Dermatology', 'Epidemiological Analysis']"
Songyi Chen,https://www.researchgate.net/profile/Songyi-Chen,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,State Key Laboratory of High-performance Complex Manufacturing,"['Materials', 'Microstructure', 'Material Characterization']"
Zeng Jian,https://www.researchgate.net/profile/Zeng_Jian,https://i1.rgstatic.net/ii/profile.image/880624730636288-1586968705307_Q64/Zeng_Jian.jpg,Department of Pathology,['Cell Culture']
Bowen Tao,https://www.researchgate.net/profile/Bowen_Tao,https://i1.rgstatic.net/ii/profile.image/886391525355528-1588343616543_Q64/Bowen_Tao.jpg,Department of Automation,"['Software Development', 'Web Development', 'Web Application Programming']"
Hui Feng,https://www.researchgate.net/profile/Hui-Feng-37,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Xiangya school of nursing,['Clinical Pharmacokinetics']
Guangyin Lu,https://www.researchgate.net/profile/Guangyin-Lu,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Department of Geotechnical Engineering,"['Microwave Engineering', 'Microwave Technology']"
Chaoqiang Liu,https://www.researchgate.net/profile/Chaoqiang-Liu-2,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Powder Metallurgy Research Institute,"['Material Characterization', 'Microstructure', 'Metals']"
Cong Hong,https://www.researchgate.net/profile/Cong-Hong,https://i1.rgstatic.net/ii/profile.image/918458950754304-1595989086717_Q64/Cong-Hong.jpg,Xiangya School of Medicine,"['Surgical Oncology', 'Cancer Surgery']"
Jiankang Wang,https://www.researchgate.net/profile/Jiankang_Wang9,https://i1.rgstatic.net/ii/profile.image/938900960866304-1600862841383_Q64/Jiankang_Wang9.jpg,Department of Civil Engineering and Management,[]
Qian Zhang,https://www.researchgate.net/profile/Qian-Zhang-158,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Economic,[]
Yijing He,https://www.researchgate.net/profile/Yijing-He-4,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Institute of Clinical Pharmacology,"['Clinical Oncology', 'Cancer Biology', 'Cancer Biomarkers']"
Deng Liqin,https://www.researchgate.net/profile/Deng-Liqin,https://i1.rgstatic.net/ii/profile.image/969965633019912-1608269236626_Q64/Deng-Liqin.jpg,Key Laboratory of Nonferrous Metal Materials Science and Engineering,"['Hydrogenation', 'Material Characterization']"
哈哈 哈哈,https://www.researchgate.net/profile/haha-haha-7,https://i1.rgstatic.net/ii/profile.image/970383402475526-1608368840463_Q64/haha-haha-7.jpg,Institute of Chemistry and Chemical Engineering,"['Kinetics', 'Kinetic Modeling', 'Chemical Reaction Engineering']"
Guo Xu,https://www.researchgate.net/profile/Guo-Xu-12,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,School of Automation,[]
Hong Quan,https://www.researchgate.net/profile/Hong-Quan-4,https://i1.rgstatic.net/ii/profile.image/998925670563842-1615173847691_Q64/Hong-Quan-4.jpg,Cancer Research Institute,[]
Qiuhua Rao,https://www.researchgate.net/profile/Qiuhua-Rao,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Institute of Mechanics and Sensor Technology (IMST),['Fracture']
Nan Jiahui,https://www.researchgate.net/profile/Nan-Jiahui,https://i1.rgstatic.net/ii/profile.image/1009046102487040-1617586746145_Q64/Nan-Jiahui.jpg,School of Nursing,['frail']
Yangyang Zhang,https://www.researchgate.net/profile/Yangyang-Zhang-40,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Department of Electronic Information Science and Technology,['Fluid Mechanics']
Hoar jour Mafu,https://www.researchgate.net/profile/Hoar-Mafu,https://i1.rgstatic.net/ii/profile.image/1019364639784972-1620046877569_Q64/Hoar-Mafu.jpg,Computational Geosciences Research Centre,"['Machine Learning', 'Neural Networks and Artificial Intelligence', 'Classification']"
Jiang Zhengwen,https://www.researchgate.net/profile/Jiang-Zhengwen,https://i1.rgstatic.net/ii/profile.image/1128820673380353-1646143229701_Q64/Jiang-Zhengwen.jpg,Department of Geographic Information System,['Geology']
Kun Chen,https://www.researchgate.net/profile/Kun-Chen-73,https://i1.rgstatic.net/ii/profile.image/1046395846942721-1626491619936_Q64/Kun-Chen-73.jpg,Department of Geological Resources,"['Field Geology', 'Minerals']"
Xiong ya Lan,https://www.researchgate.net/profile/Xiong-Lan-2,https://i1.rgstatic.net/ii/profile.image/1049653428637698-1627268287303_Q64/Xiong-Lan-2.jpg,Department of Pharmacology,"['Cell Culture', 'PCR', 'Western Blot Analysis']"
Zijian Wu,https://www.researchgate.net/profile/Zijian-Wu-10,https://i1.rgstatic.net/ii/profile.image/1074297200193544-1633143820106_Q64/Zijian-Wu-10.jpg,Department of Applied Mathematics,['Mathematical Analysis']
Shen Guobo,https://www.researchgate.net/profile/Shen-Guobo-2,https://i1.rgstatic.net/ii/profile.image/11431281082802700-1662185378871_Q64/Shen-Guobo-2.jpg,Department of Powdery Materials Science and Engineering,[]
Mazidul Islam,https://www.researchgate.net/profile/Mazidul-Islam-2,https://i1.rgstatic.net/ii/profile.image/1078265959723010-1634090046803_Q64/Mazidul-Islam-2.jpg,School of Civil Engineering,['Structural Analysis']
Honglin Zhu,https://www.researchgate.net/profile/Honglin-Zhu-4,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Department of Rheumatology,['Reprogramming']
Marina Yu,https://www.researchgate.net/profile/Marina-Yu-5,https://i1.rgstatic.net/ii/profile.image/1084940317921280-1635681337287_Q64/Marina-Yu-5.jpg,Department of English,"['Language Teaching', 'Foreign Language Learning', 'Second Language Acquisition']"
Suo Wang,https://www.researchgate.net/profile/Suo-Wang,https://i1.rgstatic.net/ii/profile.image/1107983517917184-1641175264216_Q64/Suo-Wang.jpg,School of Aeronautics and Astronautics,['Aeronautics']
Wang YAN Bo,https://www.researchgate.net/profile/Wang-Bo-91,https://i1.rgstatic.net/ii/profile.image/1090019313889281-1636892264261_Q64/Wang-Bo-91.jpg,Department of Geophysics,"['CFD Simulation', 'Aeronautics']"
昌林 Hu,https://www.researchgate.net/profile/changlin-Hu,https://i1.rgstatic.net/ii/profile.image/1116024049020931-1643092276618_Q64/changlin-Hu.jpg,Department of Architectural Engineering ,['Civil Engineering Materials']
Zhen li Li,https://www.researchgate.net/profile/Zhen-Li-257,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Key Laboratory of Modern Complex Equipment Design and Extreme Manufacturing,"['Minerals', 'Geology', 'Tectonics']"
Wang Jianchi,https://www.researchgate.net/profile/Wang-Jianchi,https://i1.rgstatic.net/ii/profile.image/1126561621250048-1645604629016_Q64/Wang-Jianchi.jpg,Department of Automation,[]
Sheikh Sohan Mamun,https://www.researchgate.net/profile/Sheikh-Mamun,https://i1.rgstatic.net/ii/profile.image/1143214983651329-1649575100388_Q64/Sheikh-Mamun.jpg,Department of Computer Science,"['Machine Learning', 'Image Processing', 'Neural Networks and Artificial Intelligence']"
Ismael Camara,https://www.researchgate.net/profile/Ismael-Camara,https://i1.rgstatic.net/ii/profile.image/1147943717470208-1650702518575_Q64/Ismael-Camara.jpg,Department of Finance,"['Finance', 'Financial Analysis', 'Banking and Finance']"
Xi Chen,https://www.researchgate.net/profile/Xi-Chen-592,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,School of Nursing,[]
Shirley An,https://www.researchgate.net/profile/Shirley-An,https://i1.rgstatic.net/ii/profile.image/1154386764013569-1652238660935_Q64/Shirley-An.jpg,Department of English,"['Language', 'Language Acquisition', 'Language Development']"
Shuang Fang,https://www.researchgate.net/profile/Shuang-Fang-2,https://i1.rgstatic.net/ii/profile.image/1159099802759172-1653362336444_Q64/Shuang-Fang-2.jpg,Department of Automation,"['Java Programming', 'C++', 'Computer Programming']"
Rui Xiao,https://www.researchgate.net/profile/Rui-Xiao-40,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Department of Computer Science,[]
Zhihao Du,https://www.researchgate.net/profile/Zhihao-Du-4,https://i1.rgstatic.net/ii/profile.image/1178392934256640-1657962177249_Q64/Zhihao-Du-4.jpg,Key Laboratory of Modern Complex Equipment Design and Extreme Manufacturing,"['Manufacturing Systems', 'Production Engineering']"
Hailun He,https://www.researchgate.net/profile/Hailun-He-2,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,School of life science,"['Enzymologic Gene Expression Regulation', 'Cloning', 'Biochemical Genetics']"
Xiang Yang,https://www.researchgate.net/profile/Xiang-Yang-44,https://i1.rgstatic.net/ii/profile.image/1182722680725507-1658994469273_Q64/Xiang-Yang-44.jpg,Geoscience and Info-Physics,['Machine Learning']
Jianbiao He,https://www.researchgate.net/profile/Jianbiao-He,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Department of Computer Science,"['Image Processing', 'Pattern Recognition', 'Computer Vision']"
Jie Fan,https://www.researchgate.net/profile/Jie-Fan-43,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,medical psychological center,"['Mental Illness', 'Psychopathology', 'Clinical Assessment']"
Liu chu Yao,https://www.researchgate.net/profile/Liu-Yao-31,https://i1.rgstatic.net/ii/profile.image/11431281083118403-1662426231788_Q64/Liu-Yao-31.jpg,Department of Computing Engineering,"['SQL', 'HTML code programming', 'Java Programming']"
Zida Lin,https://www.researchgate.net/profile/Zida-Lin,https://i1.rgstatic.net/ii/profile.image/11431281084704898-1663330889055_Q64/Zida-Lin.jpg,Department of Civil Engineering and Management,[]
Zhang Fan,https://www.researchgate.net/profile/Zhang-Fan-82,https://i1.rgstatic.net/ii/profile.image/11431281084620913-1663293256874_Q64/Zhang-Fan-82.jpg,School of Traffic and Transportation Engineering,"['Traffic Safety', 'Transport Management']"
Ziwei Teng,https://www.researchgate.net/profile/Ziwei-Teng,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Institute of Psychiatry and Mental Health,['Clinical Psychiatry']
Haoyang Fan,https://www.researchgate.net/profile/Haoyang-Fan-5,https://i1.rgstatic.net/ii/profile.image/11431281089135668-1665452597168_Q64/Haoyang-Fan-5.jpg,School of Resources and Safety Engineering,[]
Ziyu Chen,https://www.researchgate.net/profile/Ziyu-Chen-34,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Department of Accounting,"['Accounting', 'Financial Accounting']"
Chenjun Mu,https://www.researchgate.net/profile/Chenjun-Mu,https://i1.rgstatic.net/ii/profile.image/11431281095465351-1667904951150_Q64/Chenjun-Mu.jpg,State Key Laboratory of Medical Genetics,"['Electrophoresis', 'SDS-PAGE', 'RNA Isolation']"
Muhammad Shahzad Yousaf,https://www.researchgate.net/profile/Muhammad-Yousaf-139,https://i1.rgstatic.net/ii/profile.image/11431281167442199-1686651479987_Q64/Muhammad-Yousaf-139.jpg,Department of Geological Engineering,"['Aquifer Parameter Estimation', 'Numerical Simulation of groundwater flow', 'Sensitivity and Uncertainty Analysis']"
Fengming Mao,https://www.researchgate.net/profile/Fengming-Mao,https://i1.rgstatic.net/ii/profile.image/11431281229404117-1710426664645_Q64/Fengming-Mao.jpg,Xiangya School of Medicine,[]
Shi Yin,https://www.researchgate.net/profile/Shi-Yin-24,https://i1.rgstatic.net/ii/profile.image/11431281118104227-1675670391391_Q64/Shi-Yin-24.jpg,School of Traffic and Transportation Engineering,"['Machine Learning', 'Signal, Image and Video Processing', 'Time Series Forecasting']"
Peng Yu,https://www.researchgate.net/profile/Peng-Yu-87,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Department of Anesthesiology,[]
Biyang Yu,https://www.researchgate.net/profile/Biyang-Yu-4,https://i1.rgstatic.net/ii/profile.image/11431281155704340-1683258027969_Q64/Biyang-Yu-4.jpg,School of Automation,"['MATLAB Simulation', 'Power Electronics', 'Inverters']"
Muhammad Tayyab,https://www.researchgate.net/profile/Muhammad-Tayyab-124,https://i1.rgstatic.net/ii/profile.image/11431281194517699-1696143229753_Q64/Muhammad-Tayyab-124.jpg,Department of physics and Electronics,"['Dynamic Simulation', 'Chaos Control', 'Theoretical Physics']"
Xie Tao,https://www.researchgate.net/profile/Xie-Tao-16,https://i1.rgstatic.net/ii/profile.image/11431281122618562-1677478141894_Q64/Xie-Tao-16.jpg,Department of Civil Engineering and Management,[]
Nitsuh Barklign Amsalu,https://www.researchgate.net/profile/Nitsuh-Amsalu,https://i1.rgstatic.net/ii/profile.image/11431281205836021-1700471360015_Q64/Nitsuh-Amsalu.jpg,Department of Computer Science,[]
Yunbo Tao,https://www.researchgate.net/profile/Yunbo-Tao,https://i1.rgstatic.net/ii/profile.image/11431281169118869-1687255012969_Q64/Yunbo-Tao.jpg,School of Resources and Safety Engineering,"['Numerical Modeling', 'Mechanical Properties', 'Numerical Simulation']"
Mianzeng Zhong,https://www.researchgate.net/profile/Mianzeng-Zhong,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Department of Applied Physics,"['Materials', 'Advanced Materials']"
Hun Lv,https://www.researchgate.net/profile/Hun-Lv,https://i1.rgstatic.net/ii/profile.image/11431281171660642-1688355594275_Q64/Hun-Lv.jpg,Department of Geographic Information System,['Digital Mapping']
Hu Xin,https://www.researchgate.net/profile/Hu-Xin-19,https://i1.rgstatic.net/ii/profile.image/11431281183037255-1692683753499_Q64/Hu-Xin-19.jpg,Center for Mathematics and Interdisciplinary Sciences,['Fusion']
Ziqi Qin,https://www.researchgate.net/profile/Ziqi-Qin-7,https://i1.rgstatic.net/ii/profile.image/11431281189129960-1694924554269_Q64/Ziqi-Qin-7.jpg,School of Nursing,[]
Haodong Li,https://www.researchgate.net/profile/Haodong-Li-23,https://i1.rgstatic.net/ii/profile.image/11431281189249471-1695019109475_Q64/Haodong-Li-23.jpg, School of Materials Science and Engineering,[]
Ming Bao,https://www.researchgate.net/profile/Ming-Bao-5,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Department of Mechanical Engineering,['Coordination Complexes']
Peiyu Han,https://www.researchgate.net/profile/Peiyu-Han-2,https://i1.rgstatic.net/ii/profile.image/11431281197515697-1697028164320_Q64/Peiyu-Han-2.jpg,School of Traffic and Transportation Engineering,[]
Xin Yitong,https://www.researchgate.net/profile/Xin-Yitong,https://i1.rgstatic.net/ii/profile.image/11431281199448474-1697630775010_Q64/Xin-Yitong.jpg,School of Law,[]
Guoyu Gu,https://www.researchgate.net/profile/Guoyu-Gu,https://i1.rgstatic.net/ii/profile.image/11431281202158470-1698754582618_Q64/Guoyu-Gu.jpg,Department of Automation,"['Advanced Machine Learning', 'Neural Networks and Artificial Intelligence']"
Gu Xing,https://www.researchgate.net/profile/Gu-Xing,https://i1.rgstatic.net/ii/profile.image/11431281202860107-1699063858452_Q64/Gu-Xing.jpg,,"['Thin Films and Nanotechnology', 'Materials', 'Nanomaterials']"
Sun Junzhe,https://www.researchgate.net/profile/Sun-Junzhe,https://i1.rgstatic.net/ii/profile.image/11431281203857981-1699500055486_Q64/Sun-Junzhe.jpg,Department of Powdery Materials Science and Engineering,['3D Printing']
Qing Hu,https://www.researchgate.net/profile/Qing-Hu-33,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Department of Geographic Information System,[]
Chuanyi Cheng,https://www.researchgate.net/profile/Chuanyi-Cheng,https://i1.rgstatic.net/ii/profile.image/11431281220260511-1706363455824_Q64/Chuanyi-Cheng.jpg,School of Resources and Safety Engineering,[]
Shengjie Wu,https://www.researchgate.net/profile/Shengjie-Wu-7,https://i1.rgstatic.net/ii/profile.image/11431281224913455-1708475632248_Q64/Shengjie-Wu-7.jpg,School of Metallurgical Science and Engineering,"['Steel', 'Microstructure', 'Recrystallisation']"
Liang Wu,https://www.researchgate.net/profile/Liang-Wu-88,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Department of Medical Genetics,"['RNA', 'PCR', 'Cell Culture']"
Deshan Feng,https://www.researchgate.net/profile/Deshan-Feng,https://i1.rgstatic.net/ii/profile.image/276887982100486-1443026648052_Q64/Deshan-Feng.jpg,School of Geoscience and Info-Physics,[]
Hong-Mei Lu,https://www.researchgate.net/profile/Hong-Mei-Lu-2,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,School of Chemistry and Chemical Engineering,"['Chromatography', 'Metabolomics', 'Algorithms']"
Yang Cao,https://www.researchgate.net/profile/Yang-Cao-16,https://i1.rgstatic.net/ii/profile.image/279942324604934-1443754859457_Q64/Yang-Cao-16.jpg,Institute of Biomedical Engineering,['Biomechanical Engineering']
Shimin Wang,https://www.researchgate.net/profile/Shimin-Wang-8,https://i1.rgstatic.net/ii/profile.image/294927683604482-1447327647470_Q64/Shimin-Wang-8.jpg,State Key Laboratory of Powder Metallurgy,[]
Zhizhong Li,https://www.researchgate.net/profile/Zhizhong-Li-5,https://i1.rgstatic.net/ii/profile.image/460929021288449-1486905450440_Q64/Zhizhong-Li-5.jpg,,['Microwave']
Nanhai Wang,https://www.researchgate.net/profile/Nanhai-Wang,https://i1.rgstatic.net/ii/profile.image/500401322631168-1496316380351_Q64/Nanhai-Wang.jpg, School of Materials Science and Engineering,['Material Characterization']
Naixiu Hu,https://www.researchgate.net/profile/Naixiu-Hu,https://i1.rgstatic.net/ii/profile.image/746710942875649-1555041170747_Q64/Naixiu-Hu.jpg, School of Materials Science and Engineering,"['Nanomaterials', 'Materials', 'Thin Films and Nanotechnology']"
Yuting Shen,https://www.researchgate.net/profile/Yuting-Shen,https://i1.rgstatic.net/ii/profile.image/552527423655936-1508744211050_Q64/Yuting-Shen.jpg, School of Materials Science and Engineering,"['Conducting Polymers', 'Polymers', 'Material Characterization']"
Fahad Saleem,https://www.researchgate.net/profile/Fahad-Saleem-6,https://i1.rgstatic.net/ii/profile.image/1068186627751937-1631686946300_Q64/Fahad-Saleem-6.jpg,School of Resources and Safety Engineering,"['Geotechnical Engineering', 'Geological Engineering', 'Geological Hazards']"
Dachao Wu,https://www.researchgate.net/profile/Dachao-Wu,https://i1.rgstatic.net/ii/profile.image/805861438009344-1569143747170_Q64/Dachao-Wu.jpg,research institute of light alloy,[]
Md. Shoykot Jahan,https://www.researchgate.net/profile/Md-Jahan-5,https://i1.rgstatic.net/ii/profile.image/830532829077507-1575025865208_Q64/Md-Jahan-5.jpg,Biochemistry and Molecular Biology,"['Molecular Biology', 'Immunology']"
Zong Qi,https://www.researchgate.net/profile/Zong-Qi,https://i1.rgstatic.net/ii/profile.image/945654918557696-1602473110766_Q64/Zong-Qi.jpg,Department of Geological Resources,['Games']
Hanqiu Kang,https://www.researchgate.net/profile/Hanqiu_Kang,https://i1.rgstatic.net/ii/profile.image/970299336048640-1608348797508_Q64/Hanqiu_Kang.jpg,School of Automation,"['Optical Physics', 'Optics and Lasers']"
Haruna Adamu,https://www.researchgate.net/profile/Haruna-Adamu-4,https://i1.rgstatic.net/ii/profile.image/1004402684989440-1616479669379_Q64/Haruna-Adamu-4.jpg,School of Traffic and Transportation Engineering,"['Traffic Engineering', 'Transport Management']"
Jun Yang,https://www.researchgate.net/profile/Jun-Yang-196,https://i1.rgstatic.net/ii/profile.image/1125463653130240-1645342853240_Q64/Jun-Yang-196.jpg,,"['Clinical Psychiatry', 'Mental Illness']"
Bianzheng You,https://www.researchgate.net/profile/Bianzheng-You,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,School of metallurgy and environment,"['Battery', 'Energy Storage', 'Lithium Ion Batteries']"
Pei Chen,https://www.researchgate.net/profile/Pei-Chen-39,https://i1.rgstatic.net/ii/profile.image/1064978085855233-1630921970748_Q64/Pei-Chen-39.jpg,Department of General Surgery,"['Cancer Biology', 'Cell Culture']"
Yexin Lang,https://www.researchgate.net/profile/Yexin-Lang,https://i1.rgstatic.net/ii/profile.image/1080514614177793-1634626167679_Q64/Yexin-Lang.jpg, School of Materials Science and Engineering,"['Materials', 'X-ray Diffraction', 'XRD Analysis']"
Liu Chang,https://www.researchgate.net/profile/Liu-Chang-128,https://i1.rgstatic.net/ii/profile.image/1129511533985793-1646307943367_Q64/Liu-Chang-128.jpg,Department of Computer Science,"['Machine Learning', 'Medical Systems']"
Xinlong Zheng,https://www.researchgate.net/profile/Xinlong-Zheng-2,https://i1.rgstatic.net/ii/profile.image/1140640230445057-1648961231930_Q64/Xinlong-Zheng-2.jpg,Department of Automation,"['Renewable Energy Technologies', 'Distributed Generation', 'Fault Detection']"
Zhu Mengzhen,https://www.researchgate.net/profile/Zhu-Mengzhen,https://i1.rgstatic.net/ii/profile.image/1155557918547971-1652517885168_Q64/Zhu-Mengzhen.jpg,State Key Laboratory of Powder Metallurgy,"['Alloys', 'Microstructure', 'Mechanical Properties']"
Xiaozhou Xiao,https://www.researchgate.net/profile/Xiaozhou-Xiao-2,https://i1.rgstatic.net/ii/profile.image/1177628769824770-1657779986701_Q64/Xiaozhou-Xiao-2.jpg,Institute of Biomedical Engineering,['Optics and Photonics']
Zhendong Li,https://www.researchgate.net/profile/Zhendong-Li-12,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,School of Traffic & Transportation Engineering,"['Cellular Structures', 'Solid Mechanics', 'Mechanical Properties']"
Dianyi Guo,https://www.researchgate.net/profile/Dianyi-Guo,https://i1.rgstatic.net/ii/profile.image/11431281104926719-1670300632047_Q64/Dianyi-Guo.jpg,School of Civil Engineering,[]
Ting Zhao,https://www.researchgate.net/profile/Ting-Zhao-44,https://i1.rgstatic.net/ii/profile.image/11431281121923806-1677127312541_Q64/Ting-Zhao-44.jpg,School of Nursing,['Nursing']
Gaoyuan Cui,https://www.researchgate.net/profile/Gaoyuan-Cui,https://i1.rgstatic.net/ii/profile.image/11431281164765524-1685887089338_Q64/Gaoyuan-Cui.jpg,Xiangya School of Medicine,[]
Yixuan Che,https://www.researchgate.net/profile/Yixuan-Che,https://i1.rgstatic.net/ii/profile.image/11431281162150689-1685172330295_Q64/Yixuan-Che.jpg, School of Materials Science and Engineering,"['Alloys', 'Mechanical Properties', 'Microstructure']"
Hongman Zhou,https://www.researchgate.net/profile/Hongman-Zhou,https://i1.rgstatic.net/ii/profile.image/272223978127402-1441914662783_Q64/Hongman-Zhou.jpg,Department of Survey Engineering and Geomatics,[]
Zhimin Zhang,https://www.researchgate.net/profile/Zhimin-Zhang-15,https://i1.rgstatic.net/ii/profile.image/272302629715983-1441933414595_Q64/Zhimin-Zhang-15.jpg,School of Chemistry and Chemical Engineering,[]
Fang-Gen Lu,https://www.researchgate.net/profile/Fang-Gen-Lu,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Xiangya School of Medicine,[]
Shichang Ma,https://www.researchgate.net/profile/Shichang-Ma,https://i1.rgstatic.net/ii/profile.image/277549868437510-1443184454122_Q64/Shichang-Ma.jpg,Department of Finance,['Finance']
