name link department disciplines
"Dong Li" https://www.researchgate.net/profile/Dong-Li-43 "School of Metallurgy and Environment" []
"Richmond Anaman" https://www.researchgate.net/profile/Richmond-Anaman "School of Metallurgy and Environment" "['Heavy Metals', 'Geostatistical Analysis', 'Environmental Risk Assessment']"
"Xinghua Luo" https://www.researchgate.net/profile/Xinghua-Luo-2 "School of Metallurgy and Environment" ['Biodiversity']
"Hui Liu" https://www.researchgate.net/profile/Hui-Liu-137 "school of Metallurgy and Environment" "['Air Pollution Control', 'Catalysis', 'Photocatalysis']"
"Jun Wu" https://www.researchgate.net/profile/Jun-Wu-52 "School of Metallurgy and Environment" "['Catalyst Synthesis', 'Catalyst Characterization']"
"Yan Lvji" https://www.researchgate.net/profile/Yan-Lvji "school of metallurgy and environment" "['Review', 'Material Characterization', 'Nanomaterials']"
"Shuai Li" https://www.researchgate.net/profile/Shuai-Li-146 "School of Metallurgy and Environment" "['Organic Synthesis', 'Esterification', 'Solvent Extraction']"
"Yong Ke" https://www.researchgate.net/profile/Yong-Ke "School of Metallurgy and Environment" "['Wastewater Treatment', 'Leaching', 'Environmental Engineering']"
"Jing Zhan" https://www.researchgate.net/profile/Jing-Zhan-6 "Metallurgy and Environment" "['Powders', 'X-ray Diffraction', 'Alloys']"
"Chao Yang" https://www.researchgate.net/profile/Chao-Yang-15 "school of metallurgy and environment" []
"Zhi-yong Liu" https://www.researchgate.net/profile/Zhi-Yong-Liu-2 "School of metallurgy and environment" "['Arsenic', 'Arsenic Speciation', 'Heavy Metals']"
"Tao Tian" https://www.researchgate.net/profile/Tao-Tian-14 "School of Metallurgy and Environment" "['Plants', 'Heavy Metal Accumulation', 'Cadmium']"
"Ke Du" https://www.researchgate.net/profile/Ke-Du-9 "School of Metallurgy and Environment" "['Lithium Ion Batteries', 'Energy Storage', 'Lithium Battery']"
"Zhenming Xu" https://www.researchgate.net/profile/Zhenming-Xu-3 "School of Metallurgy and Environment" "['Electronic Waste']"
"Khalid A.M. Salih" https://www.researchgate.net/profile/Khalid-Salih "School of Metallurgy and Environment" "['Mineral Processing', 'Synthesis', 'Functionalization']"
"Tao Jiang" https://www.researchgate.net/profile/Tao-Jiang-76 "School of Metallurgy and Environment" "['Solvent Extraction', 'Extractive Metallurgy', 'Electron Probe Microanalysis']"
"Xuekai Zhang" https://www.researchgate.net/profile/Xuekai-Zhang-2 "School of Metallurgy and Environment" "['Environment', 'Environmental Pollution', 'Waste Management']"
"Bo Huang" https://www.researchgate.net/profile/Bo-Huang-57 "School of Metallurgy and Environment" "['Environmental Impact Assessment', 'Environmental Pollution']"
"Miao Tian" https://www.researchgate.net/profile/Miao-Tian-6 "School of Metallurgy and Environment" "['Secondary resources recycling', 'Non-ferrous metallurgy', 'Waste printed circuit boards treament']"
"Bridget Ataa Fosua" https://www.researchgate.net/profile/Bridget-Ataa-Fosua "School of Metallurgy and Environment" "['Agriculture', 'Crop Management', 'Plant Nutrition']"
"Peng Wu" https://www.researchgate.net/profile/Peng-Wu-49 "School of Metallurgy and Environment" "['Water Treatment', 'Environment', 'Alumina']"
"Guangheng Ji" https://www.researchgate.net/profile/Guangheng-Ji "School of Metallurgy and Environment" "['DSC', 'X-ray Diffraction', 'TGA']"
"Qiang Zeng" https://www.researchgate.net/profile/Qiang-Zeng-29 "School of Metallurgy and Environment" "['Photovoltaics', 'Material Characterization', 'Thin Films and Nanotechnology']"
"Rensheng Li" https://www.researchgate.net/profile/Rensheng_Li "School of Metallurgy and Environment" "['Steel', 'Renfining Slag', 'Kinetic Modeling']"
"Zimo Huang" https://www.researchgate.net/profile/Zimo-Huang "school of metallurgy and environment" "['Lithium Ion Batteries', 'Battery', 'Energy Storage']"
"Justice Delali Akoto" https://www.researchgate.net/profile/Justice-Akoto "School of Metallurgy and Environment" "['Environmental Bioremediation', 'Environmental Biotechnology', 'Environmental Pollution']"
"Bright Archer" https://www.researchgate.net/profile/Bright-Archer "Metallurgy and Environmental Science Engineering" "['Environment', 'Sustainability', 'Environmental Pollutants']"
"Zhu Huang" https://www.researchgate.net/profile/Zhu-Huang-7 "School of Metallurgy and Environment" "['Recycling', 'Environment Protection', 'Sustainability']"
"Pengfei Shi" https://www.researchgate.net/profile/Pengfei-Shi-14 "School of Metallurgy and Environment" "['Green Chemistry Technology', 'Green Chemistry', 'Applied Chemistry']"
"Wenyan Gao" https://www.researchgate.net/profile/Wenyan-Gao "School of Metallurgy and Environment" []
"Huang Nan" https://www.researchgate.net/profile/Huang-Nan-4 "School of Metallurgy and Environment" "['Environmental Bioremediation']"
"Kim Kofi Kwakye" https://www.researchgate.net/profile/Kim-Kwakye "school of metallurgy and environment" "['Wastewater Treatment', 'Water and Wastewater Treatment', 'Water Treatment']"
"Hu Bin" https://www.researchgate.net/profile/Hu-Bin-23 "School of Metallurgy and Environment" "['X-ray Diffraction']"
"Jia Qiao" https://www.researchgate.net/profile/Jia-Qiao "school of metallurgy and environment" "['Material Characterization', 'Cyclic Voltammetry', 'Materials']"
"Zhichao Jiang" https://www.researchgate.net/profile/Zhichao-Jiang-4 "School of Metallurgy and Environment" "['smelting site', 'Heavy Metal Pollution', 'Environmental Pollution']"
"Xu Xiangming" https://www.researchgate.net/profile/Xu-Xiangming "School of Metallurgy and Environment" "['Differential Thermal Analysis', 'X-ray Diffraction', 'SEM Analysis']"
"Rota Razaka" https://www.researchgate.net/profile/Rota-Razaka "School of Metallurgy and environment" []
"Zhenxing Liu" https://www.researchgate.net/profile/Zhenxing_Liu14 "School of Metallurgy and Environment" "['Materials', 'Mechanical Properties', 'Material Characterization']"
"Zhaohui Guo" https://www.researchgate.net/profile/Zhaohui-Guo-6 "School of Metallurgy and Environment" []
"Haiying Wang" https://www.researchgate.net/profile/Haiying-Wang-11 "School of Metallurgy and Environment" "['Scanning Electron Microscopy', 'Materials', 'SEM Analysis']"
"Zuoying Cao" https://www.researchgate.net/profile/Zuoying-Cao "School of Metallurgy and Environment" "['Synthesis', 'Coordination Chemistry', 'Synthetic Organic Chemistry']"
"Chaobo Tang" https://www.researchgate.net/profile/Chaobo-Tang "School of Metallurgy and Environment" "['Processing Engineering', 'Mineral Processing', 'Minerals']"
"Bianzheng You" https://www.researchgate.net/profile/Bianzheng-You "School of metallurgy and environment" "['Battery', 'Energy Storage', 'Lithium Ion Batteries']"
"Lei Tan" https://www.researchgate.net/profile/Lei-Tan-16 "School of Metallurgy and Environment" []
"Rui Chen" https://www.researchgate.net/profile/Rui-Chen-132 "school of metallurgy and environment" []
"Zhengfu Tong" https://www.researchgate.net/profile/Zhengfu-Tong "School of Metallurgy and Environment" "['Applied Physics', 'Optical Materials', 'Applied / Experimental Physics']"
"Xiaobin Chen" https://www.researchgate.net/profile/Xiaobin-Chen-4 "School of Metallurgy and Environment" "['Material Characterization', 'Materials', 'Advanced Materials']"
